卫视频道,#genre#
天津卫视,http://114.226.212.189:8787/rtp/239.49.8.148:6000
河北卫视,http://114.226.212.189:8787/rtp/239.49.8.188:6000
安徽卫视,http://114.226.212.189:8787/rtp/239.49.8.204:6000
江西卫视,http://114.226.212.189:8787/rtp/239.49.8.185:6000
重庆卫视,http://114.226.212.189:8787/rtp/239.49.8.149:6000
黑龙江卫视,http://114.226.212.189:8787/rtp/239.49.8.144:6000
吉林卫视,http://114.226.212.189:8787/rtp/239.49.1.49:6000
青海卫视,http://114.226.212.189:8787/rtp/239.49.1.53:6000
辽宁卫视,http://114.226.212.189:8787/rtp/239.49.1.35:6000
广西卫视,http://114.226.212.189:8787/rtp/239.49.1.40:6000
海南卫视,http://114.226.212.189:8787/rtp/239.49.1.41:6000
四川卫视,http://114.226.212.189:8787/rtp/239.49.1.43:6000
河南卫视,http://114.226.212.189:8787/rtp/239.49.1.44:6000
东南卫视,http://114.226.212.189:8787/rtp/239.49.1.45:6000
山西卫视,http://114.226.212.189:8787/rtp/239.49.1.51:6000
贵州卫视,http://114.226.212.189:8787/rtp/239.49.1.52:6000
云南卫视,http://114.226.212.189:8787/rtp/239.49.1.235:6000
江苏卫视,http://114.226.212.189:8787/rtp/239.49.8.16:9602
湖南卫视,http://114.226.212.189:8787/rtp/239.49.8.12:9418
浙江卫视,http://114.226.212.189:8787/rtp/239.49.8.20:9618
北京卫视,http://114.226.212.189:8787/rtp/239.49.8.11:9414
东方卫视,http://114.226.212.189:8787/rtp/239.49.8.17:9606
广东卫视,http://114.226.212.189:8787/rtp/239.49.8.13:9422
山东卫视,http://114.226.212.189:8787/rtp/239.49.8.7:9306
深圳卫视,http://114.226.212.189:8787/rtp/239.49.8.15:9430
重庆卫视,http://114.226.212.189:8787/rtp/239.49.8.57:9830
辽宁卫视,http://114.226.212.189:8787/rtp/239.49.8.48:8000
黑龙江卫视,http://114.226.212.189:8787/rtp/239.49.8.14:9426
湖北卫视,http://114.226.212.189:8787/rtp/239.49.8.8:9632
天津卫视,http://114.226.212.189:8787/rtp/239.49.8.35:8620
江苏卫视,http://114.226.212.190:8787/rtp/239.49.8.138:6000
浙江卫视,http://114.226.212.190:8787/rtp/239.49.8.139:6000
东方卫视,http://114.226.212.190:8787/rtp/239.49.8.140:6000
北京卫视,http://114.226.212.190:8787/rtp/239.49.8.141:6000
湖南卫视,http://114.226.212.190:8787/rtp/239.49.8.142:6000
广东卫视,http://114.226.212.190:8787/rtp/239.49.8.143:6000
深圳卫视,http://114.226.212.190:8787/rtp/239.49.8.145:6000
山东卫视,http://114.226.212.190:8787/rtp/239.49.8.146:6000
湖北卫视,http://114.226.212.190:8787/rtp/239.49.8.147:6000
天津卫视,http://114.226.212.190:8787/rtp/239.49.8.148:6000
河北卫视,http://114.226.212.190:8787/rtp/239.49.8.188:6000
安徽卫视,http://114.226.212.190:8787/rtp/239.49.8.204:6000
江西卫视,http://114.226.212.190:8787/rtp/239.49.8.185:6000
重庆卫视,http://114.226.212.190:8787/rtp/239.49.8.149:6000
黑龙江卫视,http://114.226.212.190:8787/rtp/239.49.8.144:6000
吉林卫视,http://114.226.212.190:8787/rtp/239.49.1.49:6000
青海卫视,http://114.226.212.190:8787/rtp/239.49.1.53:6000
辽宁卫视,http://114.226.212.190:8787/rtp/239.49.1.35:6000
广西卫视,http://114.226.212.190:8787/rtp/239.49.1.40:6000
海南卫视,http://114.226.212.190:8787/rtp/239.49.1.41:6000
四川卫视,http://114.226.212.190:8787/rtp/239.49.1.43:6000
河南卫视,http://114.226.212.190:8787/rtp/239.49.1.44:6000
东南卫视,http://114.226.212.190:8787/rtp/239.49.1.45:6000
山西卫视,http://114.226.212.190:8787/rtp/239.49.1.51:6000
贵州卫视,http://114.226.212.190:8787/rtp/239.49.1.52:6000
云南卫视,http://114.226.212.190:8787/rtp/239.49.1.235:6000
江苏卫视,http://114.226.212.190:8787/rtp/239.49.8.16:9602
湖南卫视,http://114.226.212.190:8787/rtp/239.49.8.12:9418
浙江卫视,http://114.226.212.190:8787/rtp/239.49.8.20:9618
北京卫视,http://114.226.212.190:8787/rtp/239.49.8.11:9414
东方卫视,http://114.226.212.190:8787/rtp/239.49.8.17:9606
广东卫视,http://114.226.212.190:8787/rtp/239.49.8.13:9422
山东卫视,http://114.226.212.190:8787/rtp/239.49.8.7:9306
深圳卫视,http://114.226.212.190:8787/rtp/239.49.8.15:9430
重庆卫视,http://114.226.212.190:8787/rtp/239.49.8.57:9830
